,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
131,84.86,126.92079930959999,비전뜰 도서관,작은도서관,은평구,서울특별시,18,37.6257009642,3000,"37.6257009642, 126.92079930959999"
132,94.29,126.9275146,다니엘 작은도서관,작은도서관,은평구,서울특별시,20,37.62578369,4340,"37.62578369, 126.9275146"
133,28.29,126.9287908705,천주교연신내성당 북카페,작은도서관,은평구,서울특별시,6,37.6272305269,1506,"37.6272305269, 126.9287908705"
134,56.57,126.9285396,꿈담은 작은 도서관,작은도서관,은평구,서울특별시,12,37.62566023,2000,"37.62566023, 126.9285396"
135,51.86,126.916679,갈현1동 고리마루작은도서관 (갈현1동 주민센터),작은도서관,은평구,서울특별시,11,37.6236871299,5343,"37.6236871299, 126.916679"
136,188.57,126.91929270000001,정임도서관,작은도서관,은평구,서울특별시,40,37.62781878,4900,"37.62781878, 126.91929270000001"
137,94.29,126.91577761280001,효경골 마을문고 (갈현2동 주민센터),작은도서관,은평구,서울특별시,20,37.6186769946,9675,"37.6186769946, 126.91577761280001"
138,103.71,126.91618600000001,청소년도서관 작공,작은도서관,은평구,서울특별시,22,37.61491999,1948,"37.61491999, 126.91618600000001"
139,75.43,126.9075233,무지개영어도서관,작은도서관,은평구,서울특별시,16,37.61494677,2527,"37.61494677, 126.9075233"
140,264.0,126.9207138,대조꿈나무어린이도서관,작은도서관,은평구,서울특별시,56,37.61387527,15068,"37.61387527, 126.9207138"
141,207.43,126.9253585,대조제일교회  꿈꾸는 작은도서관,작은도서관,은평구,서울특별시,44,37.61191616,8491,"37.61191616, 126.9253585"
142,47.14,126.91834399999999,징검다리 도서관,작은도서관,은평구,서울특별시,10,37.61079028,7808,"37.61079028, 126.91834399999999"
143,235.71,126.92690400000001,은평문화의집 작은도서관 (응암1동 주민센터),작은도서관,은평구,서울특별시,50,37.60075892,11063,"37.60075892, 126.92690400000001"
144,66.0,127.02790859999999,쌍문3동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,10,37.648943700000004,20253,"37.648943700000004, 127.02790859999999"
145,60.0,127.02836880000001,쌍문4동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,18,37.6564188,12874,"37.6564188, 127.02836880000001"
